Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Result,Total Goals
1986,1986-06-03 12:00:00,Group Stage,Estadio Azteca,Mexico City ,Belgium,1,2,Mexico, ,110000,1,2,ESPOSITO Carlos (ARG),SILVA VALENTE Carlos Alberto (POR),MENDEZ MOLINA Romulo (GUA),308,428,BEL,MEX,Away Win,3
1986,1986-06-03 16:00:00,Group Stage,Tecnologico,Monterrey ,Portugal,1,0,England, ,23000,0,0,ROTH Volker (GER),DOTCHEV Bogdan (BUL),AL SHARIF Jamal (SYR),308,538,POR,ENG,Home Win,1
1986,1986-06-04 12:00:00,Group Stage,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,1,0,Iraq, ,24000,1,0,PICON-ACKONG Edwin (MRI),ULLOA MORERA Berny (CRC),SOCHA David (USA),308,628,PAR,IRQ,Home Win,1
1986,1986-06-04 12:00:00,Group Stage,Estadio Corregidora,Queretaro ,Uruguay,1,1,Germany, ,30500,1,0,CHRISTOV Vojtech (TCH),SILVA ARCE Hernan (CHI),SILVA VALENTE Carlos Alberto (POR),308,585,URU,FRG,Draw,2
1986,1986-06-04 16:00:00,Group Stage,Neza,Nezahualcoyotl ,Scotland,0,1,Denmark, ,18000,0,0,NEMETH Lajos (HUN),KIRSCHEN Siegfried (GER),AL SHANAR Fallaj Khuzam (KSA),308,517,SCO,DEN,Away Win,1
1986,1986-06-05 12:00:00,Group Stage,Cuauhtemoc,Puebla ,Italy,1,1,Argentina, ,32000,1,1,KEIZER Jan (NED),MARQUEZ RAMIREZ Antonio (MEX),SNODDY Alan (NIR),308,394,ITA,ARG,Draw,2
1986,1986-06-05 12:00:00,Group Stage,Nou Camp - Estadio Le�n,Leon ,France,1,1,Soviet Union, ,36540,0,0,ARPPI FILHO Romualdo (BRA),SANCHEZ ARMINIO Victoriano (ESP),TAKADA Shizuo (JPN),308,571,FRA,URS,Draw,2
1986,1986-06-05 16:00:00,Group Stage,Estadio Ol�mpico Universitario,Mexico City ,Korea Republic,1,1,Bulgaria, ,45000,0,1,AL SHANAR Fallaj Khuzam (KSA),IGNA Ioan (ROU),BUTENKO Valeri (RUS),308,460,KOR,BUL,Draw,2
1986,1986-06-06 12:00:00,Group Stage,Estadio Irapuato,Irapuato ,Hungary,2,0,Canada, ,13800,1,0,AL SHARIF Jamal (SYR),PETROVIC Zoran (SRB),BAMBRIDGE Christopher (AUS),308,475,HUN,CAN,Home Win,2
1986,1986-06-06 12:00:00,Group Stage,Jalisco,Guadalajara ,Brazil,1,0,Algeria, ,48000,0,0,MENDEZ MOLINA Romulo (GUA),MARTINEZ BAZAN Jose Luis (URU),QUINIOU Joel (FRA),308,377,BRA,ALG,Home Win,1
1986,1986-06-06 16:00:00,Group Stage,Tecnologico,Monterrey ,England,0,0,Morocco, ,20200,0,0,GONZALEZ ROA Gabriel (PAR),ESPOSITO Carlos (ARG),KIRSCHEN Siegfried (GER),308,533,ENG,MAR,Draw,0
1986,1986-06-07 12:00:00,Group Stage,Tres de Marzo,Guadalajara ,Northern Ireland,1,2,Spain, ,28000,0,2,BRUMMEIER Horst (AUT),AGNOLIN Luigi (ITA),NEMETH Lajos (HUN),308,551,NIR,ESP,Away Win,3
